season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
1,Main,Irelia,7,25.0,3.0,4,2.0,1,3,25.0,5.5,3.25,6.0,3.54,262.25,5.69,14.1,306.0,0.0,,,,
1,Main,Zilean,7,25.0,5.0,2,2.0,1,1,50.0,5.0,1.5,8.0,8.67,208.5,5.01,12.4,299.0,0.0,,,,
1,Main,Akali,7,25.0,6.0,1,1.0,1,0,100.0,7.0,4.0,7.0,3.5,168.0,4.54,11.1,300.0,0.0,,,,
1,Main,Caitlyn,4,14.3,,4,3.0,0,4,0.0,0.5,3.75,1.25,0.47,220.75,6.96,8.3,261.0,0.0,,,,
1,Main,Cho'Gath,3,10.7,,3,3.0,1,2,33.3,1.33,1.67,2.33,2.2,209.33,6.27,9.6,289.0,0.0,,,,
1,Main,Tristana,3,10.7,,3,2.0,1,2,33.3,5.67,4.33,0.67,1.46,221.67,6.52,10.9,320.0,0.0,,,,
1,Main,Trundle,3,10.7,,3,3.0,0,3,0.0,0.67,3.33,2.0,0.8,81.0,2.76,5.7,194.0,0.0,,,,
1,Main,Mordekaiser,3,10.7,2.0,1,1.0,1,0,100.0,3.0,0.0,9.0,12.0,324.0,8.6,14.3,379.0,0.0,,,,
1,Main,Lee Sin,2,7.1,,2,2.0,1,1,50.0,3.0,5.0,4.0,1.4,197.0,5.47,10.1,279.0,0.0,,,,
1,Main,Teemo,2,7.1,,2,1.0,1,1,50.0,9.0,3.0,6.5,5.17,273.5,5.9,16.9,363.0,0.0,,,,
1,Main,Gangplank,1,3.6,,1,1.0,1,0,100.0,3.0,0.0,10.0,13.0,120.0,4.15,9.1,315.0,0.0,,,,
1,Main,Sion,1,3.6,,1,1.0,1,0,100.0,2.0,0.0,6.0,8.0,253.0,7.54,11.9,355.0,0.0,,,,
1,Main,Blitzcrank,1,3.6,,1,1.0,0,1,0.0,8.0,4.0,17.0,6.25,253.0,4.71,15.3,285.0,0.0,,,,
1,Main,Dr. Mundo,1,3.6,,1,1.0,0,1,0.0,0.0,3.0,1.0,0.33,167.0,5.35,6.6,211.0,0.0,,,,
1,Main,Garen,1,3.6,,1,1.0,0,1,0.0,5.0,5.0,3.0,1.6,110.0,3.71,7.6,256.0,0.0,,,,
1,Main,Kassadin,1,3.6,,1,1.0,0,1,0.0,3.0,3.0,0.0,1.0,166.0,5.6,7.4,250.0,0.0,,,,
1,Main,Lux,1,3.6,,1,1.0,0,1,0.0,1.0,3.0,1.0,0.67,98.0,3.39,5.6,194.0,0.0,,,,
1,Main,Poppy,1,3.6,,1,1.0,0,1,0.0,0.0,2.0,4.0,2.0,82.0,2.84,5.8,201.0,0.0,,,,
1,Main,Rammus,1,3.6,,1,1.0,0,1,0.0,1.0,4.0,5.0,1.5,100.0,2.44,8.8,215.0,0.0,,,,
1,Main,Urgot,1,3.6,,1,1.0,0,1,0.0,2.0,3.0,2.0,1.33,140.0,4.84,6.5,225.0,0.0,,,,
2,Main,Lulu,6,19.4,,6,4.0,1,5,16.7,0.83,3.83,4.33,1.35,29.83,0.89,6.8,203.0,0.0,,,,
2,Main,Shyvana,6,19.4,1.0,5,5.0,0,5,0.0,0.8,3.6,4.2,1.39,141.2,3.79,8.1,217.0,0.0,,,,
2,Main,Diana,6,19.4,3.0,3,2.0,1,2,33.3,3.0,3.33,4.67,2.3,208.33,5.88,10.2,288.0,0.0,,,,
2,Main,Udyr,5,16.1,,5,4.0,0,5,0.0,0.6,3.8,2.2,0.74,128.4,4.06,7.4,233.0,0.0,,,,
2,Main,Morgana,5,16.1,1.0,4,3.0,1,3,25.0,3.25,2.25,3.5,3.0,251.5,7.22,10.5,302.0,0.0,,,,
2,Main,Cassiopeia,4,12.9,,4,2.0,1,3,25.0,4.75,2.75,2.75,2.73,204.75,6.9,9.4,317.0,0.0,,,,
2,Main,Gragas,4,12.9,2.0,2,2.0,0,2,0.0,1.0,1.5,2.5,2.33,306.0,7.75,11.2,283.0,0.0,,,,
2,Main,Katarina,4,12.9,3.0,1,1.0,0,1,0.0,1.0,5.0,2.0,0.6,169.0,6.17,7.1,259.0,0.0,,,,
2,Main,Caitlyn,3,9.7,,3,3.0,1,2,33.3,2.67,1.33,2.33,3.75,297.67,8.97,11.7,352.0,0.0,,,,
