champion,win_rate,kda_enhanced,efficiency_score,impact_score,dataset_type,season,patch,has_blue_team,has_red_team,teams_balanced,player,kda,player_efficiency,kill_participation,economic_impact,id
Irelia,25.0,3.5384615384615383,28.53846153846154,7.134615384615384,champion,,,,,,,,,,,0
Zilean,50.0,8.666666666666666,58.66666666666666,14.666666666666664,champion,,,,,,,,,,,1
Akali,100.0,3.5,103.5,25.875,champion,,,,,,,,,,,2
Caitlyn,0.0,0.4666666666666667,0.4666666666666667,0.0667333333333333,champion,,,,,,,,,,,3
Cho'Gath,33.3,2.191616766467066,35.49161676646706,3.7976029940119753,champion,,,,,,,,,,,4
Tristana,33.3,1.464203233256351,34.764203233256346,3.7197697459584287,champion,,,,,,,,,,,5
Trundle,0.0,0.8018018018018017,0.8018018018018017,0.0857927927927927,champion,,,,,,,,,,,6
Mordekaiser,100.0,12.0,112.0,11.983999999999998,champion,,,,,,,,,,,7
Lee Sin,50.0,1.4,51.4,3.6494,champion,,,,,,,,,,,8
Teemo,50.0,5.166666666666667,55.16666666666666,3.916833333333333,champion,,,,,,,,,,,9
Gangplank,100.0,13.0,113.0,4.0680000000000005,champion,,,,,,,,,,,10
Sion,100.0,8.0,108.0,3.888,champion,,,,,,,,,,,11
Blitzcrank,0.0,6.25,6.25,0.225,champion,,,,,,,,,,,12
Dr. Mundo,0.0,0.3333333333333333,0.3333333333333333,0.012,champion,,,,,,,,,,,13
Garen,0.0,1.6,1.6,0.0576,champion,,,,,,,,,,,14
Kassadin,0.0,1.0,1.0,0.036,champion,,,,,,,,,,,15
Lux,0.0,0.6666666666666666,0.6666666666666666,0.024,champion,,,,,,,,,,,16
Poppy,0.0,2.0,2.0,0.072,champion,,,,,,,,,,,17
Rammus,0.0,1.5,1.5,0.054,champion,,,,,,,,,,,18
Urgot,0.0,1.3333333333333333,1.3333333333333333,0.048,champion,,,,,,,,,,,19
Lulu,16.7,1.3472584856396868,18.047258485639688,3.501168146214099,champion,,,,,,,,,,,20
Shyvana,0.0,1.3888888888888888,1.3888888888888888,0.2694444444444444,champion,,,,,,,,,,,21
Diana,33.3,2.303303303303303,35.6033033033033,6.90704084084084,champion,,,,,,,,,,,22
Udyr,0.0,0.736842105263158,0.736842105263158,0.1186315789473684,champion,,,,,,,,,,,23
Morgana,25.0,3.0,28.0,4.508000000000001,champion,,,,,,,,,,,24
Cassiopeia,25.0,2.727272727272727,27.727272727272727,3.5768181818181817,champion,,,,,,,,,,,25
Gragas,0.0,2.333333333333333,2.333333333333333,0.301,champion,,,,,,,,,,,26
Katarina,0.0,0.6,0.6,0.0774,champion,,,,,,,,,,,27
Caitlyn,33.3,3.7593984962406015,37.0593984962406,3.594761654135337,champion,,,,,,,,,,,28
Ryze,33.3,1.7247956403269755,35.02479564032697,3.397405177111716,champion,,,,,,,,,,,29
Cho'Gath,50.0,2.5,52.5,5.092499999999999,champion,,,,,,,,,,,30
Zilean,50.0,3.2857142857142856,53.285714285714285,3.4635714285714285,champion,,,,,,,,,,,31
Darius,0.0,1.25,1.25,0.08125,champion,,,,,,,,,,,32
Nocturne,0.0,2.090909090909091,2.090909090909091,0.1359090909090909,champion,,,,,,,,,,,33
Ahri,100.0,9.0,109.0,7.085,champion,,,,,,,,,,,34
Amumu,100.0,3.333333333333333,103.33333333333331,3.306666666666666,champion,,,,,,,,,,,35
Soraka,100.0,12.0,112.0,3.5840000000000005,champion,,,,,,,,,,,36
Jarvan IV,0.0,6.666666666666667,6.666666666666667,0.2133333333333333,champion,,,,,,,,,,,37
Riven,0.0,0.5,0.5,0.016,champion,,,,,,,,,,,38
Swain,0.0,3.6,3.6,0.1152,champion,,,,,,,,,,,39
Tristana,0.0,0.0,0.0,0.0,champion,,,,,,,,,,,40
Twitch,33.3,3.6666666666666665,36.96666666666666,4.694766666666665,champion,,,,,,,,,,,41
Nocturne,20.0,2.066666666666667,22.066666666666663,2.4494,champion,,,,,,,,,,,42
Lulu,20.0,0.9444444444444444,20.944444444444443,1.654611111111111,champion,,,,,,,,,,,43
Ryze,20.0,1.636363636363636,21.63636363636364,1.7092727272727273,champion,,,,,,,,,,,44
Karthus,33.3,2.132,35.431999999999995,2.799128,champion,,,,,,,,,,,45
Diana,33.3,2.4024024024024024,35.7024024024024,1.713715315315315,champion,,,,,,,,,,,46
Nunu,33.3,3.0899182561307903,36.389918256130784,1.7467160762942775,champion,,,,,,,,,,,47
Tristana,33.3,2.575107296137339,35.87510729613734,1.722005150214592,champion,,,,,,,,,,,48
Malphite,0.0,2.0,2.0,0.096,champion,,,,,,,,,,,49
Yorick,50.0,2.75,52.75,2.532,champion,,,,,,,,,,,50
Nami,50.0,5.25,55.25,1.768,champion,,,,,,,,,,,51
